id,header,years_from,years_to,release_year,aggregate_rating,num_figures,manufacturer,period_duration,mid_year,era,decade,years_since_release,nationality
1327,BUM National Regular Army (5005),1935,1940,2008.0,41.0,29.0,BUM,5,1937,Новейшее время,2000.0,18.0,Spanish
1328,Zvezda Swedish Dragoons of Charles XII (8057),1700,1721,2008.0,47.0,18.0,Zvezda,21,1710,Новое время,2000.0,18.0,Swedish
1329,Waterloo 1815 Prussian Hussars (021),1813,1815,2008.0,42.0,14.0,Waterloo 1815,2,1814,Новое время,2000.0,18.0,German
1330,Waterloo 1815 Prussian Death's Head Hussars (032),1807,1815,2008.0,41.0,14.0,Waterloo 1815,8,1811,Новое время,2000.0,18.0,German
1331,Caesar Republican Roman Army (H045),-120,30,2008.0,43.0,41.0,Caesar,150,-45,Древний мир,2000.0,18.0,Italian
1332,Italeri D.A.K. Infantry (6099),1941,1943,2008.0,43.0,48.0,Italeri,2,1942,Новейшее время,2000.0,18.0,German
1334,Dapol Station Accessories (C012),1950,1970,1958.0,,24.0,Dapol,20,1960,Современность,1950.0,68.0,Не указано
1335,HaT 1805 French Grenadiers and Voltigeurs (8171),1803,1807,2008.0,42.0,48.0,HaT,4,1805,Новое время,2000.0,18.0,French
1336,RedBox Russian Infantry (72018),1885,1912,2008.0,30.0,48.0,RedBox,27,1898,Новое время,2000.0,18.0,Russian
1337,RedBox Japanese Infantry (72020),1882,1910,2008.0,33.0,48.0,RedBox,28,1896,Новое время,2000.0,18.0,Japanese
1338,BUM Rif War 1920-1927 (5100),1920,1927,2008.0,41.0,25.0,BUM,7,1923,Новейшее время,2000.0,18.0,Spanish
1339,Emhar Crested Knights (7210),1200,1400,2014.0,49.0,8.0,Emhar,200,1300,Средневековье,2010.0,12.0,British
1340,Emhar British Infantry (7214),1808,1814,2014.0,48.0,48.0,Emhar,6,1811,Новое время,2010.0,12.0,British
1341,Emhar French Infantry (7216),1808,1814,2014.0,38.0,44.0,Emhar,6,1811,Новое время,2010.0,12.0,French
1342,Emhar Spanish Infantry (7215),1808,1810,2014.0,47.0,46.0,Emhar,2,1809,Новое время,2010.0,12.0,Spanish
1343,A Call To Arms British Infantry of the 1970s (67),1970,1980,2013.0,43.0,32.0,A Call To Arms,10,1975,Современность,2010.0,13.0,British
1344,Hegemony British Army Fusiliers (HG005),1857,1858,2019.0,16.0,21.0,Hegemony,1,1857,Новое время,2010.0,7.0,British
1346,Mars Lithuanian-Russian Heavy Infantry (72066),1400,1450,2014.0,38.0,48.0,Mars,50,1425,Средневековье,2010.0,12.0,Lithuanian
1346,Mars Lithuanian-Russian Heavy Infantry (72066),1400,1450,2014.0,38.0,48.0,Mars,50,1425,Средневековье,2010.0,12.0,Russian
1347,BUM Far-West Gunsmith (2104),1850,1920,2013.0,,4.0,BUM,70,1885,Новое время,2010.0,13.0,USA
1348,RedBox Scurrers (72046),1455,1485,2013.0,46.0,12.0,RedBox,30,1470,Средневековье,2010.0,13.0,British
1349,Mars Spanish Field Artillery (72092),1600,1650,2015.0,37.0,24.0,Mars,50,1625,Новое время,2010.0,11.0,Spanish
1350,BUM Far-West Town Jail (2102),1850,1930,2013.0,,5.0,BUM,80,1890,Новое время,2010.0,13.0,USA
1351,BUM Far-West Ticket Station (2103),1850,1920,2013.0,,4.0,BUM,70,1885,Новое время,2010.0,13.0,USA
1352,Mars Imperial Field Artillery (72093),1600,1650,2015.0,34.0,24.0,Mars,50,1625,Новое время,2010.0,11.0,Austrian
1352,Mars Imperial Field Artillery (72093),1600,1650,2015.0,34.0,24.0,Mars,50,1625,Новое время,2010.0,11.0,German
1353,Caesar German Army in Stalingrad (HB09),1942,1943,2014.0,38.0,19.0,Caesar,1,1942,Новейшее время,2010.0,12.0,German
1354,Caesar German Army Combat Team One (HB06),1939,1945,2014.0,44.0,23.0,Caesar,6,1942,Новейшее время,2010.0,12.0,German
1355,Caesar German Army Combat Team Two (HB07),1939,1945,2014.0,43.0,21.0,Caesar,6,1942,Новейшее время,2010.0,12.0,German
1356,Caesar German Army Sturmpioniere (HB08),1939,1945,2014.0,43.0,20.0,Caesar,6,1942,Новейшее время,2010.0,12.0,German
1362,BUM Fort West Accessories (2117),1865,1895,2013.0,,4.0,BUM,30,1880,Новое время,2010.0,13.0,Не указано
1363,BUM Lakotas-Sioux (2130),1800,1900,2013.0,,9.0,BUM,100,1850,Новое время,2010.0,13.0,Не указано
1364,BUM Sioux Cheyennes Tribe (2131),1800,1900,2013.0,,7.0,BUM,100,1850,Новое время,2010.0,13.0,Не указано
1365,Heller US Infantry (49601),1942,1945,,,,Heller,3,1943,Новейшее время,,,USA
1366,Heller French Infantry (49602),1938,1940,,,,Heller,2,1939,Новейшее время,,,French
1367,Heller British Infantry (49604),1939,1945,,,,Heller,6,1942,Новейшее время,,,British
1368,Heller Russian Infantry (49603),1941,1945,,,,Heller,4,1943,Новейшее время,,,Russian
1369,Strelets French Foreign Legion in Skirmish (M150),1903,1914,2021.0,40.0,56.0,Strelets,11,1908,Новейшее время,2020.0,5.0,French
1370,Strelets British Infantry in Attack (145),1812,1815,2017.0,46.0,43.0,Strelets,3,1813,Новое время,2010.0,9.0,British
1371,Caesar Mycenaean Chariot (H021),-1450,-1100,2012.0,49.0,10.0,Caesar,350,-1275,Древний мир,2010.0,14.0,Greek
1371,Caesar Mycenaean Chariot (H021),-1450,-1100,2012.0,49.0,10.0,Caesar,350,-1275,Древний мир,2010.0,14.0,Mycenaean
1372,Caesar Aztec Warriors (H028),1400,1500,2012.0,47.0,33.0,Caesar,100,1450,Средневековье,2010.0,14.0,Aztec
1372,Caesar Aztec Warriors (H028),1400,1500,2012.0,47.0,33.0,Caesar,100,1450,Средневековье,2010.0,14.0,Mexican
1373,Caesar Ancient Chinese Shang vs Zhou Dynasty Troopers (H029),-1100,-1000,2017.0,,35.0,Caesar,100,-1050,Древний мир,2010.0,9.0,Chinese
1374,Plastic Soldier Russian 45mm Anti-Tank Gun (WW2G20001),1939,1945,2011.0,44.0,16.0,Plastic Soldier,6,1942,Новейшее время,2010.0,15.0,Russian
1375,Zvezda Soviet 82mm Mortar with Crew (6109),1941,1945,2011.0,,4.0,Zvezda,4,1943,Новейшее время,2010.0,15.0,Russian
1376,Caesar WWI French Infantry (1914) (H034),1914,1915,2017.0,46.0,34.0,Caesar,1,1914,Новейшее время,2010.0,9.0,French
1377,Caesar German Army (H037),1939,1945,2009.0,47.0,37.0,Caesar,6,1942,Новейшее время,2000.0,17.0,German
1378,Caesar WWII French Army (H038),1939,1940,2009.0,45.0,37.0,Caesar,1,1939,Новейшее время,2000.0,17.0,French
1379,Mars German Paratroopers (Tropical Uniform) (72123),1943,1945,2021.0,44.0,40.0,Mars,2,1944,Новейшее время,2020.0,5.0,German
1380,Zvezda German 81mm Mortar and Crew (6111),1939,1942,2011.0,,4.0,Zvezda,3,1940,Новейшее время,2010.0,15.0,Russian
1382,Mars US Infantry (Winter Uniform) (72124),1942,1945,2021.0,38.0,40.0,Mars,3,1943,Новейшее время,2020.0,5.0,USA
1383,Caesar Roman Legionary (Set II) (H051),50,150,2009.0,46.0,38.0,Caesar,100,100,Древний мир,2000.0,17.0,Italian
1384,Caesar WWII German Panzergrenadiers II (H053),1943,1945,2009.0,48.0,36.0,Caesar,2,1944,Новейшее время,2000.0,17.0,German
1385,Caesar WWII US Army (Set 1) (H054),1941,1945,2009.0,42.0,41.0,Caesar,4,1943,Новейшее время,2000.0,17.0,USA
1386,Caesar British Army (H055),1941,1945,2009.0,45.0,40.0,Caesar,4,1943,Новейшее время,2000.0,17.0,British
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Belgian
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Bosnian
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Croatian
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Czech
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Dutch
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,French
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Italian
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Norwegian
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Polish
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Serbian
1387,Caesar Partisans in Europe (H056),1940,1945,2008.0,45.0,34.0,Caesar,5,1942,Новейшее время,2000.0,18.0,Yugoslavian
1388,Caesar Modern Israeli Defence Force (H057),1995,2005,2011.0,46.0,40.0,Caesar,10,2000,Современность,2010.0,15.0,Israeli
1389,Caesar Modern US Elite Force (H058),2005,2005,2008.0,47.0,40.0,Caesar,0,2005,Современность,2000.0,18.0,USA
1390,Caesar Modern French Army & Chinese PLA (H059),2009,2009,2009.0,,37.0,Caesar,0,2009,Современность,2000.0,17.0,Chinese
1390,Caesar Modern French Army & Chinese PLA (H059),2009,2009,2009.0,,37.0,Caesar,0,2009,Современность,2000.0,17.0,French
1391,Caesar Modern Special Forces Worldwide (H061),2005,2007,2008.0,49.0,41.0,Caesar,2,2006,Современность,2000.0,18.0,Не указано
1392,Caesar Modern German Army (Bundeswehr) (H062),2005,2011,2011.0,45.0,37.0,Caesar,6,2008,Современность,2010.0,15.0,German
1393,Caesar Modern Militia (H063),2005,2005,2009.0,42.0,36.0,Caesar,0,2005,Современность,2000.0,17.0,Somalian
1394,Caesar Celt Warriors (H064),-150,50,2009.0,48.0,37.0,Caesar,200,-50,Древний мир,2000.0,17.0,British
1394,Caesar Celt Warriors (H064),-150,50,2009.0,48.0,37.0,Caesar,200,-50,Древний мир,2000.0,17.0,Celtic
1394,Caesar Celt Warriors (H064),-150,50,2009.0,48.0,37.0,Caesar,200,-50,Древний мир,2000.0,17.0,French
1395,Caesar Greek Warriors (Hoplites) (H065),-600,-400,2009.0,40.0,37.0,Caesar,200,-500,Древний мир,2000.0,17.0,Greek
1396,Caesar Persian Warriors (H066),-500,-500,2009.0,45.0,42.0,Caesar,0,-500,Древний мир,2000.0,17.0,Persian
1397,Caesar German Nebelwerfer 42 & Raketenwerfer 43 with Crew (H093),1942,1945,2016.0,49.0,10.0,Caesar,3,1943,Новейшее время,2010.0,10.0,German
1398,Caesar German Panzergrenadiers (Winter Greatcoat East) (CM7714),1939,1945,2012.0,,16.0,Caesar,6,1942,Новейшее время,2010.0,14.0,German
1399,Caesar German Panzergrenadier (Kursk) (CM7715),1943,1943,2012.0,,16.0,Caesar,0,1943,Новейшее время,2010.0,14.0,German
1400,Valiant Germans in Normandy 1944 (VM004),1943,1945,2008.0,45.0,68.0,Valiant,2,1944,Новейшее время,2000.0,18.0,German
1401,Mars Turkish Heavy Infantry (72091),1601,1699,2015.0,,48.0,Mars,98,1650,Новое время,2010.0,11.0,Turkish
1402,Heller German Infantry (49605),1936,1945,1974.0,,48.0,Heller,9,1940,Новейшее время,1970.0,52.0,German
1403,Heller German Panzergrenadiers (49606),1936,1945,,,,Heller,9,1940,Новейшее время,,,German
1404,Ykreol French Staff 1940 (YK20),1939,1940,2013.0,37.0,42.0,Ykreol,1,1939,Новейшее время,2010.0,13.0,French
1405,Pegasus WWII Russian Support Weapons Teams in Greatcoats (7274),1939,1945,2013.0,49.0,26.0,Pegasus,6,1942,Новейшее время,2010.0,13.0,Russian
1406,Zvezda Soviet 85mm Anti Aircraft Gun 52-K (6148),1939,1945,2013.0,,4.0,Zvezda,6,1942,Новейшее время,2010.0,13.0,Russian
1407,GerMan British Infantry in Egypt 1800 (0023),1801,1801,2010.0,41.0,24.0,GerMan,0,1801,Новое время,2010.0,16.0,British
1407,GerMan British Infantry in Egypt 1800 (0023),1801,1801,2010.0,41.0,24.0,GerMan,0,1801,Новое время,2010.0,16.0,Indian
1408,Pegasus WWII Russian Mortar Teams in Greatcoats (7273),1939,1945,2013.0,48.0,24.0,Pegasus,6,1942,Новейшее время,2010.0,13.0,Russian
1409,Pegasus WWII Russian Infantry in Winter Dress Set 2 (7272),1939,1945,2013.0,48.0,34.0,Pegasus,6,1942,Новейшее время,2010.0,13.0,Russian
1410,Pegasus WWII Russian Infantry in Greatcoats (7271),1939,1945,2013.0,49.0,40.0,Pegasus,6,1942,Новейшее время,2010.0,13.0,Russian
1411,Pegasus War Against Fascism (7267),1941,1945,2013.0,,16.0,Pegasus,4,1943,Новейшее время,2010.0,13.0,German
1411,Pegasus War Against Fascism (7267),1941,1945,2013.0,,16.0,Pegasus,4,1943,Новейшее время,2010.0,13.0,Russian
1412,Mars Medieval Arkbalista (72065),1200,1500,2013.0,37.0,16.0,Mars,300,1350,Средневековье,2010.0,13.0,British
1412,Mars Medieval Arkbalista (72065),1200,1500,2013.0,37.0,16.0,Mars,300,1350,Средневековье,2010.0,13.0,French
1412,Mars Medieval Arkbalista (72065),1200,1500,2013.0,37.0,16.0,Mars,300,1350,Средневековье,2010.0,13.0,German
1412,Mars Medieval Arkbalista (72065),1200,1500,2013.0,37.0,16.0,Mars,300,1350,Средневековье,2010.0,13.0,Italian
1413,Mars Teutonic Field Artillery (72064),1400,1450,2013.0,39.0,16.0,Mars,50,1425,Средневековье,2010.0,13.0,Teutonic
1414,GerMan US Cavalry and Artillery (0007),1898,1898,,,,GerMan,0,1898,Новое время,,,USA
1415,Pegasus German Fallschirmjäger (7224),1943,1945,2013.0,48.0,40.0,Pegasus,2,1944,Новейшее время,2010.0,13.0,German
1416,RedBox Osman Akinci Set 2 (72093),1501,1699,2016.0,39.0,12.0,RedBox,198,1600,Средневековье,2010.0,10.0,Turkish
1417,HaT French Light Ambulance (8103),1797,1815,2009.0,,3.0,HaT,18,1806,Новое время,2000.0,17.0,French
1418,HaT French Pontoon (8108),1805,1815,2009.0,,,HaT,10,1810,Новое время,2000.0,17.0,French
1419,Orion USA Tank Crew Summer Dress (72049),1943,1945,2016.0,44.0,36.0,Orion,2,1944,Новейшее время,2010.0,10.0,USA
1420,HaT Celtic Chariot (8139),-350,90,2008.0,41.0,9.0,HaT,440,-130,Древний мир,2000.0,18.0,British
1420,HaT Celtic Chariot (8139),-350,90,2008.0,41.0,9.0,HaT,440,-130,Древний мир,2000.0,18.0,Celtic
1420,HaT Celtic Chariot (8139),-350,90,2008.0,41.0,9.0,HaT,440,-130,Древний мир,2000.0,18.0,French
1420,HaT Celtic Chariot (8139),-350,90,2008.0,41.0,9.0,HaT,440,-130,Древний мир,2000.0,18.0,Italian
1421,Coates & Shine Indian Chariot (8143),-1500,0,2008.0,43.0,15.0,Coates & Shine,1500,-750,Древний мир,2000.0,18.0,Indian
1422,HaT German PaK 36 Anti-tank Gun (8149),1939,1945,2008.0,38.0,16.0,HaT,6,1942,Новейшее время,2000.0,18.0,German
1423,HaT German PaK 40 Anti-tank Gun (8150),1941,1945,2008.0,37.0,16.0,HaT,4,1943,Новейшее время,2000.0,18.0,German
1424,HaT Australian Light Horse (8153),1914,1918,2009.0,44.0,30.0,HaT,4,1916,Новейшее время,2000.0,17.0,Australian
1425,Strelets Italian Infantry in Defence (M153),1940,1943,2021.0,37.0,52.0,Strelets,3,1941,Новейшее время,2020.0,5.0,Italian
1426,HaT German 7.62cm PaK 36(r) (8156),1941,1944,2008.0,37.0,16.0,HaT,3,1942,Новейшее время,2000.0,18.0,German
1427,HaT Polish Artillery Crew (8157),1939,1940,2016.0,43.0,32.0,HaT,1,1939,Новейшее время,2010.0,10.0,Polish
1428,HaT WWI US Artillery with 75mm Cannon (8158),1917,1918,2009.0,36.0,48.0,HaT,1,1917,Новейшее время,2000.0,17.0,USA
1429,HaT WWI French Artillery Crew (Early) (8159),1914,1915,2018.0,45.0,32.0,HaT,1,1914,Новейшее время,2010.0,8.0,French
1430,HaT Romanian Artillery Crew (8160),1942,1945,2016.0,45.0,32.0,HaT,3,1943,Новейшее время,2010.0,10.0,Romanian
1431,HaT WWI French 75mm Cannon (with Late War Crew) (8161),1916,1918,2009.0,40.0,48.0,HaT,2,1917,Новейшее время,2000.0,17.0,French
1432,HaT Hadendowah Camelry (8208),1850,1899,2010.0,47.0,15.0,HaT,49,1874,Новое время,2010.0,16.0,Sudanese
1433,HaT German 7.5cm IG 18 Gun (8163),1933,1945,2008.0,38.0,16.0,HaT,12,1939,Новейшее время,2000.0,18.0,German
1434,RedBox Turkish Siege Artillery Gun (72069),1501,1599,2015.0,37.0,16.0,RedBox,98,1550,Средневековье,2010.0,11.0,Turkish
1435,RedBox Turkish Siege Artillery Mortar (72070),1501,1699,2015.0,39.0,16.0,RedBox,198,1600,Средневековье,2010.0,11.0,Turkish
1436,HaT El Cid Andalusian Infantry (8168),1000,1100,2009.0,48.0,96.0,HaT,100,1050,Средневековье,2000.0,17.0,Spanish
1437,HaT Bavarian Fusiliers (8169),1808,1815,2009.0,42.0,48.0,HaT,7,1811,Новое время,2000.0,17.0,Bavarian
1437,HaT Bavarian Fusiliers (8169),1808,1815,2009.0,42.0,48.0,HaT,7,1811,Новое время,2000.0,17.0,German
1438,HaT Brunswick Cavalry (8174),1805,1815,2012.0,46.0,12.0,HaT,10,1810,Новое время,2010.0,14.0,Brunswick
1438,HaT Brunswick Cavalry (8174),1805,1815,2012.0,46.0,12.0,HaT,10,1810,Новое время,2010.0,14.0,German
1439,HaT Württemberg Cavalry (8175),1805,1814,2012.0,46.0,12.0,HaT,9,1809,Новое время,2010.0,14.0,German
1439,HaT Württemberg Cavalry (8175),1805,1814,2012.0,46.0,12.0,HaT,9,1809,Новое время,2010.0,14.0,W&uuml;rttemberg
1440,HaT El Cid Spanish Infantry (8176),1050,1099,2009.0,45.0,96.0,HaT,49,1074,Средневековье,2000.0,17.0,Spanish
1441,HaT Gatling Gun (8179),1871,1890,2009.0,48.0,24.0,HaT,19,1880,Новое время,2000.0,17.0,British
1442,HaT Gardner Gun (8180),1880,1890,2009.0,46.0,24.0,HaT,10,1885,Новое время,2000.0,17.0,British
1443,HaT British 17th Lancers (8181),1879,1879,2012.0,47.0,15.0,HaT,0,1879,Новое время,2010.0,14.0,British
1444,HaT Natal Native Horse (8182),1879,1879,2008.0,43.0,18.0,HaT,0,1879,Новое время,2000.0,18.0,South African
1445,HaT Late Roman Medium Cavalry (8183),300,500,2012.0,43.0,12.0,HaT,200,400,Древний мир,2010.0,14.0,Italian
1446,HaT Greek Catapult (8184),-500,-400,2009.0,49.0,24.0,HaT,100,-450,Древний мир,2000.0,17.0,Greek
1447,HaT Macedonian Hypaspists (8185),-320,-320,2009.0,44.0,48.0,HaT,0,-320,Древний мир,2000.0,17.0,Macedonian
1448,HaT Peninsular War British Infantry (8186),1808,1814,2009.0,46.0,92.0,HaT,6,1811,Новое время,2000.0,17.0,British
1449,HaT 1806 Saxon Infantry (8187),1806,1810,2009.0,42.0,96.0,HaT,4,1808,Новое время,2000.0,17.0,German
1449,HaT 1806 Saxon Infantry (8187),1806,1810,2009.0,42.0,96.0,HaT,4,1808,Новое время,2000.0,17.0,Saxon
1450,HaT Late Roman Light Cavalry (8188),300,500,2010.0,44.0,24.0,HaT,200,400,Древний мир,2010.0,16.0,Italian
1451,HaT El Cid Almoravid Infantry (8189),1050,1150,2008.0,47.0,96.0,HaT,100,1100,Средневековье,2000.0,18.0,Almoravid
1451,HaT El Cid Almoravid Infantry (8189),1050,1150,2008.0,47.0,96.0,HaT,100,1100,Средневековье,2000.0,18.0,Moroccan
1452,HaT Zulus (8191),1820,1879,2011.0,40.0,32.0,HaT,59,1849,Новое время,2010.0,15.0,South African
1452,HaT Zulus (8191),1820,1879,2011.0,40.0,32.0,HaT,59,1849,Новое время,2010.0,15.0,Zulu
1453,HaT 1806 Prussian Hussars (8195),1806,1806,2008.0,45.0,12.0,HaT,0,1806,Новое время,2000.0,18.0,German
1454,HaT 1806 Prussian Dragoons (8196),1800,1807,2008.0,46.0,12.0,HaT,7,1803,Новое время,2000.0,18.0,German
1455,HaT Napoleonic Prussian Hussars (8197),1808,1815,2012.0,46.0,12.0,HaT,7,1811,Новое время,2010.0,14.0,German
1456,HaT Austrian Grenadiers (8198),1800,1810,2011.0,44.0,60.0,HaT,10,1805,Новое время,2010.0,15.0,Austrian
1457,HaT WWI German Jaeger (8199),1914,1916,2009.0,39.0,48.0,HaT,2,1915,Новейшее время,2000.0,17.0,German
1458,HaT WWI German Infantry (8200),1914,1916,2009.0,40.0,48.0,HaT,2,1915,Новейшее время,2000.0,17.0,German
1459,HaT El Cid Spanish Light Cavalry (8201),1050,1100,2009.0,39.0,12.0,HaT,50,1075,Средневековье,2000.0,17.0,Andalusian
1459,HaT El Cid Spanish Light Cavalry (8201),1050,1100,2009.0,39.0,12.0,HaT,50,1075,Средневековье,2000.0,17.0,Spanish
1460,HaT Colonial Highlanders (8202),1873,1895,2009.0,40.0,48.0,HaT,22,1884,Новое время,2000.0,17.0,British
1461,HaT Colonial Wars Indian Infantry (8203),1875,1900,2009.0,42.0,48.0,HaT,25,1887,Новое время,2000.0,17.0,Indian
1462,HaT Austrian Grenzers (8204),1808,1815,2009.0,42.0,48.0,HaT,7,1811,Новое время,2000.0,17.0,Austrian
1463,HaT Frontier Light Horse (8206),1877,1879,2012.0,43.0,15.0,HaT,2,1878,Новое время,2010.0,14.0,South African
1464,Ultima Ratio Union Infantry - Irish Brigade (UR014),1861,1865,2021.0,40.0,34.0,Ultima Ratio,4,1863,Новое время,2020.0,5.0,USA
1465,HaT British Mounted Infantry (8209),1879,1879,2008.0,43.0,18.0,HaT,0,1879,Новое время,2000.0,18.0,British
1466,HaT British Colonial Artillery (8210),1871,1880,2009.0,45.0,24.0,HaT,9,1875,Новое время,2000.0,17.0,British
1467,HaT El Cid Spanish Heavy Cavalry (8213),1050,1100,2009.0,40.0,12.0,HaT,50,1075,Средневековье,2000.0,17.0,Spanish
1468,HaT French Voltigeurs (8218),1804,1812,2009.0,44.0,56.0,HaT,8,1808,Новое время,2000.0,17.0,French
1469,HaT French Light Infantry Chasseurs (Marching) (8219),1806,1812,2010.0,49.0,40.0,HaT,6,1809,Новое время,2010.0,16.0,French
1470,HaT 1808-1812 French Light Infantry Carabiniers (8220),1808,1812,2009.0,46.0,56.0,HaT,4,1810,Новое время,2000.0,17.0,French
1471,HaT Sassanid Levy Infantry (8205),224,651,2013.0,44.0,32.0,HaT,427,437,Древний мир,2010.0,13.0,Persian
1471,HaT Sassanid Levy Infantry (8205),224,651,2013.0,44.0,32.0,HaT,427,437,Древний мир,2010.0,13.0,Iraqi
1471,HaT Sassanid Levy Infantry (8205),224,651,2013.0,44.0,32.0,HaT,427,437,Древний мир,2010.0,13.0,Sassanian
1472,RedBox Musketeers of the King of France (72145),1622,1660,2020.0,46.0,44.0,RedBox,38,1641,Новое время,2020.0,6.0,French
1473,HaT Sassanid Clibanarii (8285),224,651,2017.0,41.0,12.0,HaT,427,437,Древний мир,2010.0,9.0,Persian
1473,HaT Sassanid Clibanarii (8285),224,651,2017.0,41.0,12.0,HaT,427,437,Древний мир,2010.0,9.0,Iraqi
1473,HaT Sassanid Clibanarii (8285),224,651,2017.0,41.0,12.0,HaT,427,437,Древний мир,2010.0,9.0,Sassanian
1474,HaT Sassanid Light Cavalry (8283),224,651,2017.0,40.0,12.0,HaT,427,437,Древний мир,2010.0,9.0,Persian
1474,HaT Sassanid Light Cavalry (8283),224,651,2017.0,40.0,12.0,HaT,427,437,Древний мир,2010.0,9.0,Sassanian
1475,Strelets Highlanders in Square (287),1812,1816,2021.0,45.0,43.0,Strelets,4,1814,Новое время,2020.0,5.0,British
1476,HaT Swedish Artillery (8231),1807,1813,2010.0,42.0,16.0,HaT,6,1810,Новое время,2010.0,16.0,Swedish
1477,RedBox Byzantine Clibanarii Set 1 (72151),600,1300,2024.0,41.0,12.0,RedBox,700,950,Средневековье,2020.0,2.0,Greek
1477,RedBox Byzantine Clibanarii Set 1 (72151),600,1300,2024.0,41.0,12.0,RedBox,700,950,Средневековье,2020.0,2.0,Turkish
1478,Strelets Russian Infantry in Overcoats Shoulder Arms (218),1811,1816,2021.0,48.0,44.0,Strelets,5,1813,Новое время,2020.0,5.0,Russian
1479,RedBox Irish Mounted Troops (72055),1450,1530,2015.0,43.0,12.0,RedBox,80,1490,Средневековье,2010.0,11.0,Irish
1480,Orion Soviet Assault Group 1945 (72048),1944,1945,2015.0,39.0,52.0,Orion,1,1944,Новейшее время,2010.0,11.0,Russian
1483,HaT WW2 German Field Wagon (8261),1939,1945,2012.0,,6.0,HaT,6,1942,Новейшее время,2010.0,14.0,German
1484,Strelets Highlanders' Firing Line (279),1808,1815,2021.0,48.0,43.0,Strelets,7,1811,Новое время,2020.0,5.0,British
1485,Waterloo 1815 Italian Mountain Troops 'Alpini' (057),1909,1916,2016.0,45.0,36.0,Waterloo 1815,7,1912,Новейшее время,2010.0,10.0,Italian
1486,Zvezda Russian Infantry Command (6815),1812,1815,2015.0,,5.0,Zvezda,3,1813,Новое время,2010.0,11.0,Russian
1487,Zvezda French Line Infantry Command (6816),1812,1815,2015.0,,5.0,Zvezda,3,1813,Новое время,2010.0,11.0,French
1488,Zvezda French Foot Artillery (6810),1812,1815,2015.0,,6.0,Zvezda,3,1813,Новое время,2010.0,11.0,French
1489,IMEX American Infantry (535),1846,1848,2008.0,45.0,49.0,IMEX,2,1847,Новое время,2000.0,18.0,USA
1490,RedBox Samurai Artillery Set 1 (72090),1501,1699,2016.0,41.0,16.0,RedBox,198,1600,Средневековье,2010.0,10.0,Japanese
1491,Zvezda Soviet Anti-Tank Gun ZIS 3 (6253),1942,1945,2015.0,,3.0,Zvezda,3,1943,Новейшее время,2010.0,11.0,Russian
1492,Zvezda Russian Dragoons (6811),1812,1815,2015.0,,3.0,Zvezda,3,1813,Новое время,2010.0,11.0,Russian
1493,Strelets Roman Senate 2 (138),-100,150,2016.0,44.0,35.0,Strelets,250,25,Древний мир,2010.0,10.0,Italian
1494,Zvezda German Anti-Tank Gun PaK 40 (6257),1941,1945,2015.0,,3.0,Zvezda,4,1943,Новейшее время,2010.0,11.0,German
1495,Zvezda Russian Foot Artillery (6809),1812,1815,2015.0,,6.0,Zvezda,3,1813,Новое время,2010.0,11.0,Russian
1496,Zvezda Russian Line Infantry (6808),1812,1815,2014.0,,6.0,Zvezda,3,1813,Новое время,2010.0,12.0,Russian
1497,Strelets Tecumseh (M107),1785,1813,2015.0,41.0,48.0,Strelets,28,1799,Новое время,2010.0,11.0,USA
1498,Strelets Republican Roman Legion Ranks (M099),-200,-30,2015.0,,40.0,Strelets,170,-115,Древний мир,2010.0,11.0,Italian
1499,Orion German WWII Panzer Soldiers Basic Set 2 (72047),1939,1945,2015.0,47.0,39.0,Orion,6,1942,Новейшее время,2010.0,11.0,German
1500,Mars French Infantry & Guards (72083),1665,1685,2015.0,39.0,48.0,Mars,20,1675,Новое время,2010.0,11.0,French
1501,Zvezda Soviet Headquarters (6132),1941,1943,2016.0,,,Zvezda,2,1942,Новейшее время,2010.0,10.0,Russian
1502,Zvezda Romanian Infantry (6163),1939,1945,2015.0,,4.0,Zvezda,6,1942,Новейшее время,2010.0,11.0,Romanian
1503,Zvezda French Dragoons (6812),1812,1815,2015.0,,3.0,Zvezda,3,1813,Новое время,2010.0,11.0,French
