ID,Header,Years_from,Years_to
1192,Orion Assyrian Siege Tower (72023),-1000,-600
1193,Caesar Ancient Germans (H040),1,99
1194,Odemars Macedonians (PF18),0,0
1195,RedBox Ninja (72011),1450,1650
1196,RedBox Ikko-ikki (72009),1471,1585
1197,Strelets Arab Cavalry (092),1080,1300
1198,Strelets Turcopoles (090),1100,1300
1199,Strelets Military Order Sergeants (088),1160,1299
1200,Strelets Muslim Foot Warriors (M013),1000,1400
1201,Strelets Muslim Archers (M014),1000,1400
1202,Strelets Foot Military Order Knights (M015),1201,1280
1203,Strelets Into The Valley of Death (901),1853,1855
1204,MiniArt Roman Cavalry (72014),301,499
1205,Zvezda Vikings (8046),801,1099
1206,Zvezda Ancient Egyptian Infantry (8051),-2024,-1950
1207,Strelets Military Order Warriors (M012),1100,1300
1208,Italeri Austrian Infantry 1798-1805 (6093),1798,1805
1209,Italeri ZiS 3 AT Gun with servants (6097),1941,1945
1210,GerMan Jacobite Highlanders (0010),1745,1746
1211,Orion Volkssturm (72017),1944,1945
1212,BUM Winter Infantry (5007),1936,1939
1213,Waterloo 1815 Prussian Infantry 1815 (020),1810,1815
1214,Strelets Roman Auxiliaries 2 (M016),40,180
1215,BUM Spanish Civil War Cavalry (5014),1936,1939
1216,Strelets Napoleonic French Cuirassiers (Summer Dress) (094),1800,1815
1217,Strelets Guides of Napoleon (095),1813,1814
1218,Strelets French Hussars (096),1804,1810
1219,Orion Cossack Cavalry (72014),1550,1700
1220,Coates & Shine Indian Infantry IV BC (8154),-400,-300
1221,Strelets Germanic Horsemen (098),-200,50
1222,Strelets Batavian Cavalry in Roman Service (097),-50,300
1223,Strelets Turkish Seljukes Cavalry (093),1037,1194
1224,LW Buccaneers (2014),1540,1740
1225,Valdemar Medieval Army on the March (VS001),1200,1450
1226,HaT French Middle Guard: Fusilier Grenadiers (8167),1809,1815
1227,HaT 1805-1812 French Line Grenadiers (8166),1805,1812
1228,MiniArt Germanic Warriors (72013),301,499
1229,Waterloo 1815 Japanese Infantry (022),1938,1945
1230,Coates & Shine Theban Army (8129),-490,-320
1231,HaT Late Roman Medium Infantry (8100),300,450
1232,Emhar Prussian Infantry (7213),1870,1871
1233,HaT Napoleonic French Wurst Wagon (8102),1806,1813
1234,Zvezda Roman Auxiliary Infantry (8052),40,180
1235,RedBox Korean Infantry (72012),1501,1699
1236,Italeri PaK 40 AT Gun with Servants (6096),1941,1945
1237,LW Sarmation Cavalry (16),0,0
1238,LW Dacian Cavalry (17),0,0
1239,Coates & Shine Gothic Army (8133),160,390
1240,HaT French Field Forge (8107),1806,1813
1241,Italeri British Light Cavalry 1815 (6094),1812,1815
1242,Airfix WWII British Infantry (01762),1939,1945
1243,GerMan Spanish Rifle Battalion 'La Patria' (0004),1898,1898
1244,LW Dacian Infantry (2010),85,106
1245,Zvezda English Infantry of the 100 Years War (8060),1330,1430
1246,Orion Scythian Infantry (72025),-550,-250
1247,Strelets Russian Infantry in Summer Uniform (M018),1916,1918
1248,Strelets Russian Infantry in Winter Uniform (M017),1882,1925
1249,Valiant American GIs 1942/44 (VM003),1942,1944
1250,Strelets Roman Legion before Battle (M019),0,0
1251,Zvezda French Infantry of the Hundred Years War (8053),1330,1460
1252,RedBox Chinese Infantry (72015),1501,1699
1253,Strelets Roman Cavalry in Battle (100),20,150
1254,Strelets Roman Cavalry on the March (099),110,200
1255,Italeri Mongol Cavalry (6124),1200,1350
1256,HaT British Camel Corps (8194),1884,1885
1257,HaT Egyptian Camel Corps (8193),1885,1899
1258,Pegasus Gladiators (7100),-100,250
1259,Strelets Heavy Brigade (902),1850,1855
1260,Pegasus Russian Naval Infantry (7270),1939,1945
1261,Pobeda Finnish Army (72300),1939,1944
1262,Pobeda Finnish Morane Saulnier 406 (72302),1939,1941
1263,Pobeda PE-2 Bomber (72303),1939,1943
1264,Pobeda Flame-Thrower OT-133 (72304),1939,1942
1265,Pobeda T-26 Light Tank (72305),1939,1940
1266,Pobeda T-26 T Ammunition Transport (72306),1939,1945
1267,Pobeda Russian Tank BT-7 (72314),1939,1942
1268,Pobeda Russian Tank BA-10 (72315),1939,1943
1269,Pobeda Russian T-26 TN Recon (72316),1939,1942
1270,Pobeda Russian T-26-1 (72317),1939,1945
1271,Mars Swedish Infantry (72020),1704,1721
1272,Mars Russian Paratroopers Spetsnaz (72001),1975,1985
1273,Mars Modern US Soldiers (72003),1980,1985
1274,Mars Normans (72004),1050,1120
1275,Mars Saracen Infantry (72005),1090,1150
1276,Mars Saracens Cavalry & Camels (72006),1090,1150
1277,Mars Crusaders (72007),1090,1150
1278,Mars Russian Heavy Weapon Team (72008),1941,1945
1279,Mars Xerxes Army (72010),-480,-450
1280,Mars Swedish Cavalry Dragoons (72011),1610,1650
1281,Mars Soviet Assault Group (72012),1941,1945
1282,Mars German Auto-Crew in Action (72013),1939,1945
1283,Mars Swedish Cavalry Cuirassiers (72014),1610,1650
1284,Mars Swedish Artillery (72015),1610,1650
1285,Mars French Artillery (72016),1800,1815
1286,Mars US Infantry with 37mm Gun (72017),1941,1945
1287,Mars Aztec Warriors (72018),1450,1525
1288,Mars Conquistadores (72019),1510,1550
1289,Mars Mujahideen (72002),1870,1987
1290,Zvezda Russian Mounted Knights (8039),1201,1399
1291,HaT Gallic Chariot with Warrior Queen (8140),-250,90
1292,Odemars British Infantry for Hougoumont (PF20),1812,1816
1293,GerMan Mounted Musketeers (0011),1622,1673
1294,HaT WWI French Infantry (Early) (8148),1914,1915
1295,Strelets Napoleonic French Uhlans in Winter Dress (101),1809,1815
1296,LW Jewish Infantry (2008),65,75
1297,RedBox Korean Heavy Infantry (72014),1501,1699
1298,Zvezda Turkish Cavalry (8054),1600,1700
1299,Odemars French Infantry for Hougoumont (PF19),1807,1811
1300,Orion Scythian Cavalry (72024),-699,-101
1301,HaT Napoleonic Swedish Cavalry (8178),1808,1814
1302,GerMan Napoleonic French Camel Corps (0022),1799,1802
1303,Caesar WWII Chinese Army (H036),1930,1950
1304,LW Carthaginian Artillery and Infantry (Part 1) (2015),-450,-50
1305,Pegasus German 75mm le IG18 (7510),1932,1945
1306,Orion Basmachi (72026),1916,1933
1307,HaT French Guard Chasseurs (8170),1800,1815
1308,RedBox Korean Guerrillas (72013),1501,1699
1309,Valdemar Mercenary Crossbowmen (VA106),1150,1450
1310,Caesar German Army (H035),1916,1918
1311,Lucky Toys Piedmont Infantry and Bersaglieri (TL0006),1848,1850
1312,Lucky Toys Garibaldi 'Red Shirts' (TL0009),1846,1860
1313,GerMan Bergisel 1809 (0030),1809,1810
1314,Mars Austrian Uhlans (72021),1805,1815
1315,Zvezda Polish Winged Hussars (8041),1670,1699
1316,RedBox US Infantry (72017),1899,1905
1317,Emhar Viking Oarsmen (7218),700,1100
1318,Italeri Templar Knights (6125),1120,1200
1319,Caesar German Panzergrenadiers (Set 1) (H052),1942,1945
1320,LW Dacian Allies (10),0,0
1321,LW Dacian Cavalry (2009),0,0
1322,LW Roman Siege Troops (2017),30,70
1323,Mars Japanese Infantry with 75mm Mountain Gun (72022),1936,1945
1324,Mars Artillery Serving Staff for Piece of Ordnance 17C (72023),1610,1650
1325,HaT Gallic Command (8138),-300,100
1326,RedBox Sikhs (72021),1888,1905
1327,BUM National Regular Army (5005),1935,1940
1328,Zvezda Swedish Dragoons of Charles XII (8057),1700,1721
1329,Waterloo 1815 Prussian Hussars (021),1813,1815
1330,Waterloo 1815 Prussian Death's Head Hussars (032),1807,1815
1331,Caesar Republican Roman Army (H045),-120,30
1332,Italeri D.A.K. Infantry (6099),1941,1943
1334,Dapol Station Accessories (C012),1950,1970
1335,HaT 1805 French Grenadiers and Voltigeurs (8171),1803,1807
1336,RedBox Russian Infantry (72018),1885,1912
1337,RedBox Japanese Infantry (72020),1882,1910
1338,BUM Rif War 1920-1927 (5100),1920,1927
1339,Emhar Crested Knights (7210),1200,1400
1340,Emhar British Infantry (7214),1808,1814
1341,Emhar French Infantry (7216),1808,1814
1342,Emhar Spanish Infantry (7215),1808,1810
1343,A Call To Arms British Infantry of the 1970s (67),1970,1980
1344,Hegemony British Army Fusiliers (HG005),1857,1858
1346,Mars Lithuanian-Russian Heavy Infantry (72066),1400,1450
1347,BUM Far-West Gunsmith (2104),1850,1920
1348,RedBox Scurrers (72046),1455,1485
1349,Mars Spanish Field Artillery (72092),1600,1650
1350,BUM Far-West Town Jail (2102),1850,1930
1351,BUM Far-West Ticket Station (2103),1850,1920
1352,Mars Imperial Field Artillery (72093),1600,1650
1353,Caesar German Army in Stalingrad (HB09),1942,1943
1354,Caesar German Army Combat Team One (HB06),1939,1945
1355,Caesar German Army Combat Team Two (HB07),1939,1945
1356,Caesar German Army Sturmpioniere (HB08),1939,1945
1362,BUM Fort West Accessories (2117),1865,1895
1363,BUM Lakotas-Sioux (2130),1800,1900
1364,BUM Sioux Cheyennes Tribe (2131),1800,1900
1365,Heller US Infantry (49601),1942,1945
1366,Heller French Infantry (49602),1938,1940
1367,Heller British Infantry (49604),1939,1945
1368,Heller Russian Infantry (49603),1941,1945
1369,Strelets French Foreign Legion in Skirmish (M150),1903,1914
1370,Strelets British Infantry in Attack (145),1812,1815
1371,Caesar Mycenaean Chariot (H021),-1450,-1100
1372,Caesar Aztec Warriors (H028),1400,1500
1373,Caesar Ancient Chinese Shang vs Zhou Dynasty Troopers (H029),-1100,-1000
1374,Plastic Soldier Russian 45mm Anti-Tank Gun (WW2G20001),1939,1945
1375,Zvezda Soviet 82mm Mortar with Crew (6109),1941,1945
1376,Caesar WWI French Infantry (1914) (H034),1914,1915
1377,Caesar German Army (H037),1939,1945
1378,Caesar WWII French Army (H038),1939,1940
1379,Mars German Paratroopers (Tropical Uniform) (72123),1943,1945
1380,Zvezda German 81mm Mortar and Crew (6111),1939,1942
1382,Mars US Infantry (Winter Uniform) (72124),1942,1945
1383,Caesar Roman Legionary (Set II) (H051),50,150
1384,Caesar WWII German Panzergrenadiers II (H053),1943,1945
1385,Caesar WWII US Army (Set 1) (H054),1941,1945
1386,Caesar British Army (H055),1941,1945
1387,Caesar Partisans in Europe (H056),1940,1945
1388,Caesar Modern Israeli Defence Force (H057),1995,2005
1389,Caesar Modern US Elite Force (H058),2005,2005
1390,Caesar Modern French Army & Chinese PLA (H059),2009,2009
1391,Caesar Modern Special Forces Worldwide (H061),2005,2007
1392,Caesar Modern German Army (Bundeswehr) (H062),2005,2011
1393,Caesar Modern Militia (H063),2005,2005
1394,Caesar Celt Warriors (H064),-150,50
1395,Caesar Greek Warriors (Hoplites) (H065),-600,-400
1396,Caesar Persian Warriors (H066),-500,-500
1397,Caesar German Nebelwerfer 42 & Raketenwerfer 43 with Crew (H093),1942,1945
1398,Caesar German Panzergrenadiers (Winter Greatcoat East) (CM7714),1939,1945
1399,Caesar German Panzergrenadier (Kursk) (CM7715),1943,1943
1400,Valiant Germans in Normandy 1944 (VM004),1943,1945
1401,Mars Turkish Heavy Infantry (72091),1601,1699
1402,Heller German Infantry (49605),1936,1945
1403,Heller German Panzergrenadiers (49606),1936,1945
1404,Ykreol French Staff 1940 (YK20),1939,1940
1405,Pegasus WWII Russian Support Weapons Teams in Greatcoats (7274),1939,1945
1406,Zvezda Soviet 85mm Anti Aircraft Gun 52-K (6148),1939,1945
1407,GerMan British Infantry in Egypt 1800 (0023),1801,1801
1408,Pegasus WWII Russian Mortar Teams in Greatcoats (7273),1939,1945
1409,Pegasus WWII Russian Infantry in Winter Dress Set 2 (7272),1939,1945
1410,Pegasus WWII Russian Infantry in Greatcoats (7271),1939,1945
1411,Pegasus War Against Fascism (7267),1941,1945
1412,Mars Medieval Arkbalista (72065),1200,1500
1413,Mars Teutonic Field Artillery (72064),1400,1450
1414,GerMan US Cavalry and Artillery (0007),1898,1898
1415,Pegasus German Fallschirmjäger (7224),1943,1945
1416,RedBox Osman Akinci Set 2 (72093),1501,1699
1417,HaT French Light Ambulance (8103),1797,1815
1418,HaT French Pontoon (8108),1805,1815
1419,Orion USA Tank Crew Summer Dress (72049),1943,1945
1420,HaT Celtic Chariot (8139),-350,90
1421,Coates & Shine Indian Chariot (8143),-1500,0
1422,HaT German PaK 36 Anti-tank Gun (8149),1939,1945
1423,HaT German PaK 40 Anti-tank Gun (8150),1941,1945
1424,HaT Australian Light Horse (8153),1914,1918
1425,Strelets Italian Infantry in Defence (M153),1940,1943
1426,HaT German 7.62cm PaK 36(r) (8156),1941,1944
1427,HaT Polish Artillery Crew (8157),1939,1940
1428,HaT WWI US Artillery with 75mm Cannon (8158),1917,1918
1429,HaT WWI French Artillery Crew (Early) (8159),1914,1915
1430,HaT Romanian Artillery Crew (8160),1942,1945
1431,HaT WWI French 75mm Cannon (with Late War Crew) (8161),1916,1918
1432,HaT Hadendowah Camelry (8208),1850,1899
1433,HaT German 7.5cm IG 18 Gun (8163),1933,1945
1434,RedBox Turkish Siege Artillery Gun (72069),1501,1599
1435,RedBox Turkish Siege Artillery Mortar (72070),1501,1699
1436,HaT El Cid Andalusian Infantry (8168),1000,1100
1437,HaT Bavarian Fusiliers (8169),1808,1815
1438,HaT Brunswick Cavalry (8174),1805,1815
1439,HaT Württemberg Cavalry (8175),1805,1814
1440,HaT El Cid Spanish Infantry (8176),1050,1099
1441,HaT Gatling Gun (8179),1871,1890
1442,HaT Gardner Gun (8180),1880,1890
1443,HaT British 17th Lancers (8181),1879,1879
1444,HaT Natal Native Horse (8182),1879,1879
1445,HaT Late Roman Medium Cavalry (8183),300,500
1446,HaT Greek Catapult (8184),-500,-400
1447,HaT Macedonian Hypaspists (8185),-320,-320
1448,HaT Peninsular War British Infantry (8186),1808,1814
1449,HaT 1806 Saxon Infantry (8187),1806,1810
1450,HaT Late Roman Light Cavalry (8188),300,500
1451,HaT El Cid Almoravid Infantry (8189),1050,1150
1452,HaT Zulus (8191),1820,1879
1453,HaT 1806 Prussian Hussars (8195),1806,1806
1454,HaT 1806 Prussian Dragoons (8196),1800,1807
1455,HaT Napoleonic Prussian Hussars (8197),1808,1815
1456,HaT Austrian Grenadiers (8198),1800,1810
1457,HaT WWI German Jaeger (8199),1914,1916
1458,HaT WWI German Infantry (8200),1914,1916
1459,HaT El Cid Spanish Light Cavalry (8201),1050,1100
1460,HaT Colonial Highlanders (8202),1873,1895
1461,HaT Colonial Wars Indian Infantry (8203),1875,1900
1462,HaT Austrian Grenzers (8204),1808,1815
1463,HaT Frontier Light Horse (8206),1877,1879
1464,Ultima Ratio Union Infantry - Irish Brigade (UR014),1861,1865
1465,HaT British Mounted Infantry (8209),1879,1879
1466,HaT British Colonial Artillery (8210),1871,1880
1467,HaT El Cid Spanish Heavy Cavalry (8213),1050,1100
1468,HaT French Voltigeurs (8218),1804,1812
1469,HaT French Light Infantry Chasseurs (Marching) (8219),1806,1812
1470,HaT 1808-1812 French Light Infantry Carabiniers (8220),1808,1812
1471,HaT Sassanid Levy Infantry (8205),224,651
1472,RedBox Musketeers of the King of France (72145),1622,1660
1473,HaT Sassanid Clibanarii (8285),224,651
1474,HaT Sassanid Light Cavalry (8283),224,651
1475,Strelets Highlanders in Square (287),1812,1816
1476,HaT Swedish Artillery (8231),1807,1813
1477,RedBox Byzantine Clibanarii Set 1 (72151),600,1300
1478,Strelets Russian Infantry in Overcoats Shoulder Arms (218),1811,1816
1479,RedBox Irish Mounted Troops (72055),1450,1530
1480,Orion Soviet Assault Group 1945 (72048),1944,1945
1483,HaT WW2 German Field Wagon (8261),1939,1945
1484,Strelets Highlanders' Firing Line (279),1808,1815
1485,Waterloo 1815 Italian Mountain Troops 'Alpini' (057),1909,1916
1486,Zvezda Russian Infantry Command (6815),1812,1815
1487,Zvezda French Line Infantry Command (6816),1812,1815
1488,Zvezda French Foot Artillery (6810),1812,1815
1489,IMEX American Infantry (535),1846,1848
1490,RedBox Samurai Artillery Set 1 (72090),1501,1699
1491,Zvezda Soviet Anti-Tank Gun ZIS 3 (6253),1942,1945
1492,Zvezda Russian Dragoons (6811),1812,1815
1493,Strelets Roman Senate 2 (138),-100,150
1494,Zvezda German Anti-Tank Gun PaK 40 (6257),1941,1945
1495,Zvezda Russian Foot Artillery (6809),1812,1815
1496,Zvezda Russian Line Infantry (6808),1812,1815
1497,Strelets Tecumseh (M107),1785,1813
1498,Strelets Republican Roman Legion Ranks (M099),-200,-30
1499,Orion German WWII Panzer Soldiers Basic Set 2 (72047),1939,1945
1500,Mars French Infantry & Guards (72083),1665,1685
1501,Zvezda Soviet Headquarters (6132),1941,1943
1502,Zvezda Romanian Infantry (6163),1939,1945
1503,Zvezda French Dragoons (6812),1812,1815
1504,Mars Crimean Tatar Infantry (72084),1600,1700
1505,First To Fight Polish Command (PL1939-023),1939,1939
1506,Heller British Commandos (49632),1940,1945
1507,Italeri American Infantry (6120),1942,1945
1508,Italeri German Motorcycles (6121),1939,1945
1509,Italeri Italian 90/53 Gun with Crew (6122),1940,1945
1510,Italeri Chinese Cavalry (6123),1200,1300
1511,Italeri Arab Warriors (6126),1100,1300
1512,Legio French Cuirassiers (P-720001),1812,1815
1513,Zvezda Soviet Frontier Guards (6144),1941,1945
1514,Lucky Toys Vlad Tzepes (TL0011),1450,1475
1515,Lucky Toys Medieval Turks (Mehmed II) (TL0012),1450,1490
1516,Zvezda Soviet Air Force Ground Crew (6187),1941,1945
1517,Mars Scots Greys (72024),1812,1815
1518,Mars British Infantry (72025),1812,1815
1519,Mars Burgundian Sergeants and Archers (72026),1300,1400
1520,Mars Arquebusiers (72027),1618,1648
1521,Mars Russian Uhlans (72028),1812,1815
1522,Mars Russian Dragoons (72029),1812,1814
1523,Mars Medieval Baltic Crusades (72030),1150,1400
1524,Mars Swedish Army with Culverin (72031),1618,1648
1525,Hasegawa U.S. Aerospace Ground Equipment Set (35006),1975,1984
1526,Orion Modern Israeli Army (Set 1) (72012),2000,2009
1527,Orion Turkish Cavalry Sipahi (72020),1501,1699
1528,Orion Byzantine Infantry (12th - 15th Century) (72027),1100,1453
1530,Pegasus WWI French Infantry (7199),1916,1918
1532,Pegasus WWII Russian Infantry (Summer Dress) (7268),1939,1945
1533,Pegasus WWII Russian Infantry (Winter Dress) (7269),1939,1945
1538,Pegasus WWII French Infantry (7306),1940,1940
1539,RedBox US Marines (72016),1900,1900
1540,RedBox Russian Sailors (72019),1900,1900
1541,RedBox British Royal Marine Light Infantry (72022),1900,1900
1542,RedBox German Sea Battalion (72023),1900,1901
1543,RedBox German East Asia Brigade (72024),1900,1901
1544,RedBox French Sailors (72025),1900,1900
1545,RedBox French Marines (72026),1895,1901
1546,RedBox French Infantry (72027),1900,1900
1547,RedBox Civilian Volunteers (72028),1900,1900
1548,RedBox Italian Sailors (72029),1900,1900
1549,RedBox Austrian Sailors (72031),1900,1900
1550,RedBox Chinese Regiment (72032),1899,1906
1551,RedBox Italian Bersaglieri (72030),1900,1901
1552,RedBox British Naval Brigade (72033),1890,1905
1553,RedBox Gurkhas (72034),1900,1900
1554,RedBox Chinese Boxers (72035),1900,1900
1555,RedBox Gangsters (72036),1935,1938
1556,Strelets Sarmatian Cavalry (020),-100,100
1557,Strelets French African Chasseurs (049),1850,1860
1558,Strelets Highlanders 1898-1902 (M051),1898,1902
1562,Strelets Jacobites (2) (068),1689,1746
1563,Strelets Mounted Praetorians (069),60,140
1564,Strelets Norman Cavalry on the March (070),1000,1120
1565,Strelets Austro-Hungarian Honved (074),1917,1918
1566,Strelets British Cavalry (075),1914,1918
1567,Strelets French Artillery (Egypt) (078),1798,1801
1568,Strelets British Artillery (Egypt) (079),1798,1801
1569,Strelets French Uhlans in Summer Uniform (102),1810,1815
1570,Strelets Dacian Cavalry (103),100,110
1571,Strelets Mounted Crusaders in Oriental Dress (104),1100,1290
1572,Strelets French Cuirassiers in Attack (105),1805,1815
1573,Strelets French Early Carabiniers (106),1800,1804
1574,Strelets Thin Red Line (903),1854,1854
1575,Strelets Roman Legion in Advance (M020),25,150
1576,Strelets Dacian Heavy Infantry (M021),100,100
1577,Strelets Dacian Light Infantry (M022),85,108
1578,Strelets French Infantry on the March (1) (M023),1812,1812
1579,Strelets WWI Austrian Infantry (M024),1914,1918
1580,Strelets Medieval Crossbowmen (M025),1100,1300
1581,Strelets French Infantry in Advance (M026),1812,1812
1582,Strelets Russian Peasant Levy in Winter Dress (M027),1000,1200
1583,Strelets Dismounted Mongols (M028),1200,1300
1584,Valdemar Medieval University (VA121),1150,1450
1585,Valdemar Teutonic Infantry on the March (VA110),1200,1300
1586,Valdemar Mounted Crusader Command (VA115),1125,1250
1587,Valdemar Russian Hird (VA113),1100,1300
1588,Waterloo 1815 Sioux (023),1800,1900
1589,Waterloo 1815 US Marines (027),1944,1945
1590,Waterloo 1815 Napoleonic Mounted Line Officers (028),1813,1815
1591,HaT WWI Belgian Infantry (8290),1914,1915
1592,Waterloo 1815 Italian Infantry Support Group (034),1940,1944
1593,Waterloo 1815 Japanese 70mm Gun (003),1931,1945
1594,Waterloo 1815 Italian 149/40 Artillery (024),1940,1945
1595,Zvezda French Cuirassiers 1807-1815 (8037),1807,1815
1596,Zvezda Russian Guard Heavy Artillery (8045),1812,1814
1597,Zvezda Russian Hussars (8055),1812,1814
1598,Zvezda Russian Artillery of Peter the Great (8058),1698,1721
1599,Zvezda Medieval Peasant Army (8059),1200,1500
1600,Zvezda Austrian Musketeers and Pikemen (8061),1600,1650
1601,Zvezda Russian Foot Warriors (8062),1200,1400
1602,Caesar German Mountain Troops (H067),1939,1945
1603,LW Spanish Army 1500-1600 (2016),1501,1580
1604,LW Russian Artillery 1500-1700 (2018),1500,1700
1605,Tragik Dead French Infantry 1809/15 (1),1809,1815
1606,Tragik Dead Prussian Landwehr 1813/15 (2),1813,1815
1607,RedBox Osman Akinci Set 1 (72092),1501,1699
1608,RedBox Samurai Artillery Set 2 (72091),1501,1699
1609,Strelets Confederate Infantry Standing (156),1861,1865
1610,Orion Slavic Warriors (72028),500,800
1611,Orion Early Rus Warriors (72029),800,1000
1613,Odemars Operation Antarctica - Haunebu (CREA04),1935,1945
1614,Co.Ma. Elite Mountain Troops/Alpini (410),1950,1967
1615,GerMan Catalan Artillery & Barricade (1001),1713,1714
1616,LW Carthaginian Artillery and Mercenaries (2025),-300,-200
1617,LW WWII Russian Tank Crew (2013),1939,1945
1618,Dark Dream Studio European Knights (72005),1500,1550
1619,Strelets Jacobites (1) (066),1689,1746
1620,Valdemar Teutonic Sergeant with Great Axe (VI006),1190,1400
1621,HaT WWI Skoda 75mm Mountain Gun (8244),1914,1918
1622,HaT Deport 75mm Gun (8242),1912,1918
1623,Linear-A Goths (Set 1) (058),401,599
1624,Strelets Obice da 75/18 Mod 35 Howitzer & Italian Crew (282),1935,1943
1625,HaT Carthaginian Veterans (8212),-217,-145
1626,Valdemar Crusader Knight (VI007),1200,1250
1627,Valdemar Crusader Knight with Great Helm (VI008),1225,1300
1628,Strelets Ancient Germans (M035),50,200
1629,Valdemar Crusader with Shield and Horse Pike (VI005),1225,1400
1630,Valdemar Sergeant Sitting and Resting (VI004),1150,1380
1631,Valdemar Croatian Light Cavalryman (VI003),1200,1240
1632,Valdemar Welsh Crusader (VI002),1097,1300
1633,Valdemar Executioner (VI001),1100,1500
1634,Pobeda Russian Women Snipers (72331),1941,1945
1635,BUM Tanqueta Blindada 8 ton. 1921 (5047),1921,1921
1636,BUM Horch 830 Radio (5043),1936,1939
1637,Pegasus WWII Russian Infantry (7498),1939,1945
1638,BUM International Brigade Artillery (5042),1936,1939
1639,Orion Khazar Army (72030),600,1000
1640,Zvezda Zaporozhian Cossacks (8064),1550,1730
1641,Strelets Court and Army of Peter I (905),1696,1725
1642,Strelets Russian Dragoons in Winter Dress (067),1808,1814
1643,Strelets Dacians Before Battle (M040),50,105
1644,Strelets Normans on the March (M039),900,1100
1645,Strelets Roman Infantry in Winter Dress (M038),50,150
1646,Strelets Roman Velites (M037),-30,150
1647,Strelets Scottish Schiltron (M036),1280,1320
1648,Strelets French Line Infantry (M041),1854,1855
1649,Fujimi German Anti-tank 88mm Flak 18 (76026),1939,1945
1650,Italeri Union Infantry (6177),1861,1865
1651,HaT Indian Infantry IV BC (8154),-400,-300
1652,HaT Indian Chariot (8143),0,0
1653,HaT Indian Elephant (8142),0,0
1654,HaT Macedonian Elephant (8141),-330,-250
1655,HaT Gothic Army (8133),160,390
1656,HaT Indian Cavalry (8131),0,0
1657,HaT Theban Army (8129),-490,-320
1658,HaT WWI German Colonial Infantry (8123),1914,1918
1659,HaT WWI Serbian Infantry (8122),1914,1918
1661,Strelets Praetorians Ranks (M108),-40,150
1663,Strelets Lawrence of Arabia (115),1915,1918
1670,HaT Napoleonic Spanish Light Infantry (8300),1806,1809
1672,Waterloo 1815 French Line Infantry 1815 (056),1812,1815
1673,Ykreol French Foreign Legion at Bir Hakeim 1942 (YK11),1942,1942
1674,Pobeda Finnish Artillery (72301),1940,1940
1675,Pobeda Russian Army (72310),1939,1940
1676,Pobeda Russian Artillery (72311),1940,1941
1678,Preiser Christopher Columbus in America 1492 (16341),1490,1500
1679,Preiser Modern German Infantry (16506),1970,1990
1680,Preiser Modern German Sentries and Tank Crew (16510),1980,1995
1681,Preiser German Horse-Drawn Supply Wagon (16512),1939,1945
1682,Preiser German Field Howitzer (16514),1939,1945
1683,Preiser German Tank Crew (16515),1939,1945
1684,Strelets Red Army Winter War (M063),1939,1941
1685,"Preiser General, Runner and Radio Operators (16536)",1939,1945
1686,Preiser German Howitzer Gun Crew (16537),1939,1945
1687,Preiser German PaK Gun Crew (16539),1939,1945
1688,Preiser German Trench Mortar Crew (16540),1939,1945
1689,Preiser German Fighting Mortar Crew (16541),1939,1945
1690,Preiser Soviet Tank Crew 1942 (16546),1941,1945
1691,Preiser Horse and Hand-Drawn Infantry Carts (16547),1939,1945
1692,Preiser Modern US Tank Crew (16548),1990,2010
1693,Ykreol The French Revolution 1789: The Years of Terror (YK14),1789,1793
1694,Preiser Modern German Army Band (16550),1990,2010
1695,Preiser Refugees (16558),1936,1945
1696,Mars Polish Infantry Mercenaries (Haiduks) (72033),1610,1640
1697,Preiser German Mortar and Crew (72517),1939,1945
1698,Preiser German PaK40 Crew (72518),1942,1945
1699,"Preiser Soviet Tank Crewmen, 1942 (72526)",1942,1942
1700,"Preiser Civil Airline Personnel, Travellers & Ground Crews (72528)",2005,2010
1701,"Preiser Military Police, Vienna 1945 (72529)",1945,1945
1702,Preiser Tank Crew US Army 2000 (72530),1990,2005
1703,Preiser Refugees (72531),1939,1945
1704,Preiser German Military Police (72532),1939,1945
1705,Preiser German Riflemen Lined Up (72533),1939,1945
1706,Preiser German Troops Lined Up with Mortar (72536),1939,1945
1707,RedBox Stradioti Set 2 (72075),1495,1580
1708,RedBox Jinetes Set 1 (72076),1501,1599
1709,Revell Pilots and Ground Crew: German Airforce WWII (02400),1936,1945
1710,Revell Pilots and Ground Crew: Royal Air Force (02401),1939,1945
1711,HaT El Cid Andalusian Light Cavalry (8214),1050,1200
1712,Ykreol Project R.F.Z. (Set 1) (YK05),1944,1945
1713,Zvezda Russian Noble Cavalry (8065),1400,1699
1714,Zvezda Swedish Artillery of Charles XII (8066),1700,1710
1715,Zvezda Cataphracts (8067),-200,300
1716,"Zvezda Prussian Grenadiers of Frederick II ""the Great"" (8071)",1740,1780
1717,Zvezda Lifeguard Polish Uhlans (8075),1809,1815
1718,Zvezda Soviet Infantry Platoon (8077),1941,1945
1719,Zvezda German Infantry Platoon (8078),1942,1944
1720,Strelets British Grenadiers in Winter Dress (M029),1854,1855
1721,Strelets British Light Infantry (M030),1854,1856
1722,Strelets RKKA Infantry 1939-41 (M031),1939,1941
1723,Strelets British Grenadiers in Summer Dress (M032),1854,1855
1724,Strelets Roman Auxiliaries Before Battle (M033),50,150
1725,Strelets Roman Auxiliaries Advancing (M034),50,150
